number,position,Player,Caps,Club,country,age,birthday,isHome
?,GK,Sammy N'Djock,2,Turkey Fethiyespor,Cameroon,24,25 February 1990,FALSE
?,GK,Lo?c Feudjou,0,Cameroon Coton Sport,Cameroon,22,14 April 1992,TRUE
?,DF,Nicolas N'Koulou,45,France Marseille,Cameroon,24,27 March 1990,FALSE
?,DF,Aur?lien Chedjou,30,Turkey Galatasaray,Cameroon,28,20 June 1985,FALSE
?,DF,Henri Bedimo,29,France Lyon,Cameroon,30,4 June 1984,FALSE
?,DF,Benoit Assou-Ekotto,20,England Queens Park Rangers,Cameroon,30,24 March 1984,FALSE
?,DF,Dany Nounkeu,14,Turkey Besiktas,Cameroon,28,11 April 1986,FALSE
?,DF,Ga?tan Bong,11,Greece Olympiacos,Cameroon,26,25 April 1988,FALSE
?,DF,Allan Nyom,7,Spain Granada,Cameroon,26,10 May 1988,FALSE
?,DF,Jean-Armel Kana-Biyik,5,France Rennes,Cameroon,24,3 July 1989,FALSE
?,DF,Cedric Djeugoue,2,Cameroon Coton Sport,Cameroon,21,28 August 1992,TRUE
?,MF,Jean Makoun,66,France Rennes,Cameroon,31,29 May 1983,FALSE
?,MF,St?phane Mbia,48,Spain Sevilla,Cameroon,28,20 May 1986,FALSE
?,MF,Alex Song,44,Spain Barcelona,Cameroon,26,9 September 1987,FALSE
?,MF,Landry N'Gu?mo,38,France Bordeaux,Cameroon,28,28 November 1985,FALSE
?,MF,Eyong Enoh,35,Turkey Antalyaspor,Cameroon,28,23 March 1986,FALSE
?,MF,Jo?l Matip,20,Germany Schalke 04,Cameroon,22,8 August 1991,FALSE
?,MF,Edgar Salli,7,France Lens,Cameroon,21,17 August 1992,FALSE
?,MF,Raoul Lo?,2,Spain Osasuna,Cameroon,25,31 January 1989,FALSE
?,FW,Samuel Eto'o,115,England Chelsea,Cameroon,33,10 March 1981,FALSE
?,FW,Pierre Web?,54,Turkey Fenerbah?e,Cameroon,32,20 January 1982,FALSE
?,GK,Stipe Pletikosa,109,Russia Rostov,Croatia,35,8 January 1979,FALSE
?,GK,Danijel Suba?ic,6,France Monaco,Croatia,29,27 October 1984,FALSE
?,GK,Oliver Zelenika,0,Croatia NK Lokomotiva,Croatia,21,14 May 1993,TRUE
?,DF,Darijo Srna,111,Ukraine Shakhtar Donetsk,Croatia,32,1 May 1982,FALSE
?,DF,Vedran Corluka,71,Russia Lokomotiv Moscow,Croatia,28,5 February 1986,FALSE
?,DF,Danijel Pranjic,48,Greece Panathinaikos,Croatia,32,2 December 1981,FALSE
?,DF,Dejan Lovren,23,England Southampton,Croatia,24,5 July 1989,FALSE
?,DF,Domagoj Vida,22,Ukraine Dynamo Kyiv,Croatia,25,29 April 1989,FALSE
?,DF,Gordon Schildenfeld,20,Greece Panathinaikos,Croatia,29,18 March 1985,FALSE
?,DF,?ime Vrsaljko,5,Italy Genoa,Croatia,22,10 January 1992,FALSE
?,DF,Igor Bubnjic,2,Italy Udinese,Croatia,21,17 July 1992,FALSE
?,MF,Luka Modric,73,Spain Real Madrid,Croatia,28,9 September 1985,FALSE
?,MF,Ivan Rakitic,60,Spain Sevilla,Croatia,26,10 March 1988,FALSE
?,MF,Ognjen Vukojevic,54,Ukraine Dynamo Kyiv,Croatia,30,20 December 1983,FALSE
?,MF,Ivan Peri?ic,27,Germany VfL Wolfsburg,Croatia,25,2 February 1989,FALSE
?,MF,Milan Badelj,9,Germany Hamburger SV,Croatia,25,25 February 1989,FALSE
?,MF,Mateo Kovacic,8,Italy Internazionale,Croatia,20,6 May 1994,FALSE
?,MF,Sammir,4,Spain Getafe,Croatia,27,23 April 1987,FALSE
?,MF,Marcelo Brozovic,0,Croatia Dinamo Zagreb,Croatia,21,16 October 1992,TRUE
?,MF,Ivan Mocinic,0,Croatia Rijeka,Croatia,21,30 April 1993,TRUE
?,MF,Mario Pa?alic,0,Croatia Hajduk Split,Croatia,19,9 February 1995,TRUE
?,FW,Ivica Olic,90,Germany VfL Wolfsburg,Croatia,34,14 September 1979,FALSE
?,FW,Eduardo,62,Ukraine Shakhtar Donetsk,Croatia,31,25 February 1983,FALSE
?,GK,Guillermo Ochoa,57,France Ajaccio,Mexico,28,13 July 1985,FALSE
?,GK,Jos? de Jes?s Corona,33,Mexico Cruz Azul,Mexico,33,26 January 1981,TRUE
?,GK,Alfredo Talavera,13,Mexico Toluca,Mexico,31,18 September 1982,TRUE
?,DF,Carlos Salcido,120,Mexico UANL,Mexico,34,2 April 1980,TRUE
?,DF,Rafael M?rquez,118,Mexico Le?n,Mexico,35,13 February 1979,TRUE
?,DF,Andr?s Guardado,101,Germany Bayer Leverkusen,Mexico,27,28 September 1986,FALSE
?,DF,Francisco Javier Rodr?guez,92,Mexico Am?rica,Mexico,32,20 October 1981,TRUE
?,DF,H?ctor Moreno,50,Spain Espanyol,Mexico,26,17 January 1988,FALSE
?,DF,Paul Aguilar,28,Mexico Am?rica,Mexico,28,6 March 1986,TRUE
?,DF,Diego Reyes,13,Portugal Porto,Mexico,21,19 September 1992,FALSE
?,DF,Miguel Lay?n,12,Mexico Am?rica,Mexico,25,25 June 1988,TRUE
?,MF,Carlos Pe?a,14,Mexico Le?n,Mexico,24,29 March 1990,TRUE
?,MF,Marco Fabi?n,12,Mexico Cruz Azul,Mexico,24,21 July 1989,TRUE
?,MF,Luis Montes,11,Mexico Le?n,Mexico,28,16 May 1986,TRUE
?,MF,H?ctor Herrera,10,Portugal Porto,Mexico,24,19 April 1990,FALSE
?,MF,Miguel ?ngel Ponce,7,Mexico Toluca,Mexico,25,12 April 1989,TRUE
?,MF,Isa?c Brizuela,6,Mexico Toluca,Mexico,23,28 August 1990,TRUE
?,MF,Jos? Juan V?zquez,2,Mexico Le?n,Mexico,26,14 March 1988,TRUE
?,FW,Giovani dos Santos,73,Spain Villarreal,Mexico,25,11 May 1989,FALSE
?,FW,Javier Hern?ndez,59,England Manchester United,Mexico,26,1 June 1988,FALSE
?,FW,Oribe Peralta,31,Mexico Santos Laguna,Mexico,30,12 January 1984,TRUE
?,FW,Ra?l Jim?nez,23,Mexico Am?rica,Mexico,23,5 May 1991,TRUE
?,FW,Alan Pulido,4,Mexico UANL,Mexico,23,8 March 1991,TRUE
?,GK,Eugene Galekovic,8,Australia Adelaide United,Australia,33,12 June 1981,TRUE
?,GK,Mathew Ryan,6,Belgium Club Brugge,Australia,22,8 April 1992,FALSE
?,GK,Mitchell Langerak,3,Germany Borussia Dortmund,Australia,25,22 August 1988,FALSE
?,GK,Mark Birighitti,1,Australia Newcastle Jets,Australia,23,17 April 1991,TRUE
?,DF,Luke Wilkshire,80,Russia Dynamo Moscow,Australia,32,1 October 1981,FALSE
?,DF,Matthew ?piranovic,17,Australia Western Sydney Wanderers,Australia,25,27 June 1988,TRUE
?,DF,Ryan McGowan,9,China Shandong Luneng Taishan,Australia,24,15 August 1989,FALSE
?,DF,Ivan Franjic,8,Australia Brisbane Roar,Australia,26,10 September 1987,TRUE
?,DF,Jason Davidson,6,Netherlands Heracles Almelo,Australia,22,29 June 1991,FALSE
?,DF,Alex Wilkinson,2,South Korea Jeonbuk Hyundai Motors,Australia,29,13 August 1984,FALSE
?,DF,Bailey Wright,0,England Preston North End,Australia,21,28 July 1992,FALSE
?,MF,Mark Bresciano,73,Qatar Al-Gharafa,Australia,34,11 February 1980,FALSE
?,MF,Matt McKay,46,Australia Brisbane Roar,Australia,31,11 January 1983,TRUE
?,MF,Mile Jedinak (captain),43,England Crystal Palace,Australia,29,3 August 1984,FALSE
?,MF,Mark Milligan,28,Australia Melbourne Victory,Australia,28,4 August 1985,TRUE
?,MF,Dario Vido?ic,22,Switzerland Sion,Australia,27,8 April 1987,FALSE
?,MF,Tommy Oar,14,Netherlands Utrecht,Australia,22,10 December 1991,FALSE
?,MF,James Holland,13,Austria Austria Wien,Australia,25,15 May 1989,FALSE
?,MF,James Troisi,10,Italy Atalanta,Australia,25,3 July 1988,FALSE
?,MF,Tom Rogic,9,Scotland Celtic,Australia,21,16 December 1992,FALSE
?,MF,Oliver Bozanic,3,Switzerland Luzern,Australia,25,8 January 1989,FALSE
?,MF,Ben Halloran,1,Germany Fortuna D?sseldorf,Australia,21,14 June 1992,FALSE
?,MF,Massimo Luongo,1,England Swindon Town,Australia,21,25 September 1992,FALSE
?,GK,Claudio Bravo,78,Spain Real Sociedad,Chile,31,13 April 1983,FALSE
?,GK,Johnny Herrera,7,Chile Universidad de Chile,Chile,33,9 May 1981,TRUE
?,GK,Cristopher Toselli,4,Chile Universidad Cat?lica,Chile,25,22 June 1988,TRUE
?,DF,Gonzalo Jara,64,England Nottingham Forest,Chile,28,29 August 1985,FALSE
?,DF,Gary Medel,59,Wales Cardiff City,Chile,26,3 August 1987,FALSE
?,DF,Mauricio Isla,45,Italy Juventus,Chile,26,12 June 1988,FALSE
?,DF,Marcos Gonz?lez,28,Chile Uni?n Espa?ola,Chile,34,9 June 1980,TRUE
?,DF,Eugenio Mena,23,Brazil Santos,Chile,25,18 July 1988,FALSE
?,DF,Jos? Rojas,18,Chile Universidad de Chile,Chile,31,3 June 1983,TRUE
?,DF,Miiko Albornoz,1,Sweden Malm?,Chile,23,3 November 1990,FALSE
?,MF,Jean Beausejour,58,England Wigan Athletic,Chile,30,3 June 1984,FALSE
?,MF,Jorge Valdivia,56,Brazil Palmeiras,Chile,30,3 October 1983,FALSE
?,MF,Arturo Vidal,53,Italy Juventus,Chile,27,22 May 1987,FALSE
?,MF,Carlos Carmona,42,Italy Atalanta,Chile,27,21 February 1987,FALSE
?,MF,Rodrigo Millar,28,Mexico Atlas,Chile,32,3 November 1981,FALSE
?,MF,Jos? Pedro Fuenzalida,22,Chile Colo-Colo,Chile,29,22 February 1985,TRUE
?,MF,Charles Ar?nguiz,19,Brazil Internacional,Chile,25,17 April 1989,FALSE
?,MF,Marcelo D?az,19,Switzerland Basel,Chile,27,30 December 1986,FALSE
?,MF,Felipe Guti?rrez,16,Netherlands Twente,Chile,23,8 October 1990,FALSE
?,MF,Francisco Silva,11,Spain Osasuna,Chile,28,11 February 1986,FALSE
?,FW,Alexis S?nchez,65,Spain Barcelona,Chile,25,19 December 1988,FALSE
?,FW,Esteban Paredes,34,Chile Colo-Colo,Chile,33,August 1, 1980
?,FW,Eduardo Vargas,28,Spain Valencia,Chile,24,20 November 1989,FALSE
?,GK,Michel Vorm,14,Wales Swansea City,Netherlands,30,3 October 1983,FALSE
?,GK,Jasper Cillessen,6,Netherlands Ajax,Netherlands,25,22 April 1989,TRUE
?,GK,Tim Krul,5,England Newcastle United,Netherlands,26,3 April 1988,FALSE
?,GK,Jeroen Zoet,0,Netherlands PSV Eindhoven,Netherlands,23,6 January 1991,TRUE
?,DF,Ron Vlaar,22,England Aston Villa,Netherlands,29,16 February 1985,FALSE
?,DF,Bruno Martins Indi,14,Netherlands Feyenoord,Netherlands,22,8 February 1992,TRUE
?,DF,Daryl Janmaat,14,Netherlands Feyenoord,Netherlands,24,22 July 1989,TRUE
?,DF,Stefan de Vrij,10,Netherlands Feyenoord,Netherlands,22,5 February 1992,TRUE
?,DF,Patrick van Aanholt,2,Netherlands Vitesse Arnhem,Netherlands,23,29 August 1990,TRUE
?,DF,Jo?l Veltman,2,Netherlands Ajax,Netherlands,22,15 January 1992,TRUE
?,DF,Paul Verhaegh,2,Germany FC Augsburg,Netherlands,30,1 September 1983,FALSE
?,DF,Terence Kongolo,1,Netherlands Feyenoord,Netherlands,20,14 February 1994,TRUE
?,DF,Karim Rekik,1,Netherlands PSV Eindhoven,Netherlands,19,2 December 1994,TRUE
?,MF,Wesley Sneijder,97,Turkey Galatasaray,Netherlands,30,9 June 1984,FALSE
?,MF,Arjen Robben,73,Germany Bayern Munich,Netherlands,30,23 January 1984,FALSE
?,MF,Nigel de Jong,69,Italy Milan,Netherlands,29,13 November 1984,FALSE
?,MF,Daley Blind,10,Netherlands Ajax,Netherlands,24,9 March 1990,TRUE
?,MF,Jonathan de Guzm?n,9,Wales Swansea City,Netherlands,26,13 September 1987,FALSE
?,MF,Jordy Clasie,8,Netherlands Feyenoord,Netherlands,22,27 June 1991,TRUE
?,MF,Memphis Depay,5,Netherlands PSV Eindhoven,Netherlands,20,13 February 1994,TRUE
?,MF,Leroy Fer,5,England Norwich City,Netherlands,24, 5 January 1990,FALSE
?,MF,Georginio Wijnaldum,4,Netherlands PSV Eindhoven,Netherlands,23,11 November 1990,TRUE
?,MF,Jean-Paul Bo?tius,1,Netherlands Feyenoord,Netherlands,20,22 March 1994,TRUE
?,GK,Iker Casillas (captain),153,Spain Real Madrid,Spain,33,20 May 1981,TRUE
?,GK,Pepe Reina,30,Italy Napoli,Spain,31,31 August 1982,FALSE
?,GK,David de Gea,0,England Manchester United,Spain,23,7 November 1990,FALSE
?,DF,Sergio Ramos,115,Spain Real Madrid,Spain,28,30 March 1986,TRUE
?,DF,Gerard Piqu?,59,Spain Barcelona,Spain,27,2 February 1987,TRUE
?,DF,Ra?l Albiol,45,Italy Napoli,Spain,28,4 September 1985,FALSE
?,DF,Jordi Alba,25,Spain Barcelona,Spain,25,21 March 1989,TRUE
?,DF,Juanfran,6,Spain Atl?tico Madrid,Spain,29,9 January 1985,TRUE
?,DF,C?sar Azpilicueta,5,England Chelsea,Spain,24,28 August 1989,FALSE
?,DF,Alberto Moreno,2,Spain Sevilla,Spain,21,5 July 1992,TRUE
?,DF,Daniel Carvajal,0,Spain Real Madrid,Spain,22,11 January 1992,TRUE
?,MF,Xavi,130,Spain Barcelona,Spain,34,25 January 1980,TRUE
?,MF,Xabi Alonso,109,Spain Real Madrid,Spain,32,25 November 1981,TRUE
?,MF,Andr?s Iniesta,94,Spain Barcelona,Spain,30,11 May 1984,TRUE
?,MF,Cesc F?bregas,87,Spain Barcelona,Spain,27,4 May 1987,TRUE
?,MF,David Silva,78,England Manchester City,Spain,28,8 January 1986,FALSE
?,MF,Sergio Busquets,63,Spain Barcelona,Spain,25,16 July 1988,TRUE
?,MF,Santi Cazorla,61,England Arsenal,Spain,29,13 December 1984,FALSE
?,MF,Jes?s Navas,34,England Manchester City,Spain,28,21 November 1985,FALSE
?,MF,Juan Mata,31,England Manchester United,Spain,26,28 April 1988,FALSE
?,MF,Javi Mart?nez,15,Germany Bayern Munich,Spain,25,2 September 1988,FALSE
?,MF,Koke,7,Spain Atl?tico Madrid,Spain,22,8 January 1992,TRUE
?,MF,Ander Iturraspe,0,Spain Athletic Bilbao,Spain,25,8 March 1989,TRUE
?,GK,Faryd Mondrag?n,54,Colombia Deportivo Cali,Colombia,42,21 June 1971,TRUE
?,GK,David Ospina,42,France Nice,Colombia,25,31 August 1988,FALSE
?,GK,Camilo Vargas,0,Colombia Santa Fe,Colombia,24,1 September 1989,TRUE
?,DF,Mario Yepes,95,Italy Atalanta,Colombia,38,13 January 1976,FALSE
?,DF,Luis Amaranto Perea,75,Mexico Cruz Azul,Colombia,35,30 January 1979,FALSE
?,DF,Juan Camilo Z??iga,51,Italy Napoli,Colombia,28,14 December 1985,FALSE
?,DF,Pablo Armero,50,England West Ham United,Colombia,27,2 November 1986,FALSE
?,DF,Cristi?n Zapata,20,Italy Milan,Colombia,27,30 September 1986,FALSE
?,DF,Carlos Vald?s,12,Argentina San Lorenzo,Colombia,29,22 May 1985,FALSE
?,DF,Santiago Arias,4,Netherlands PSV Eindhoven,Colombia,22,13 January 1992,FALSE
?,DF,?der ?lvarez Balanta,1,Argentina River Plate,Colombia,21,28 February 1993,FALSE
?,MF,Fredy Guar?n,48,Italy Internazionale,Colombia,27,30 June 1986,FALSE
?,MF,Abel Aguilar,47,France Toulouse,Colombia,29,6 January 1985,FALSE
?,MF,Carlos S?nchez,43,Spain Elche,Colombia,28,6 February 1986,FALSE
?,MF,Aldo Le?o Ram?rez,29,Mexico Morelia,Colombia,33,18 April 1981,FALSE
?,MF,Juan Guillermo Cuadrado,26,Italy Fiorentina,Colombia,26,26 May 1988,FALSE
?,MF,James Rodr?guez,21,France Monaco,Colombia,22,12 July 1991,FALSE
?,MF,Alexander Mej?a,8,Colombia Atl?tico Nacional,Colombia,25,7 September 1988,TRUE
?,MF,Juan Fernando Quintero,3,Portugal Porto,Colombia,21,18 January 1993,FALSE
?,FW,Radamel Falcao,51,France Monaco,Colombia,28,10 February 1986,FALSE
?,FW,Te?filo Guti?rrez,28,Argentina River Plate,Colombia,29,28 May 1985,FALSE
?,FW,Jackson Mart?nez,26,Portugal Porto,Colombia,27,3 October 1986,FALSE
?,FW,Adri?n Ramos,23,Germany Hertha BSC,Colombia,28,22 January 1986,FALSE
?,GK,Boubacar Barry,79,Belgium Lokeren,Ivory Coast,34,30 December 1979,FALSE
?,GK,Sayouba Mand?,1,Norway Stab?k,Ivory Coast,21,5 June 1993,FALSE
?,GK,Badra Ali Sangar?,1,Ivory Coast ASEC Mimosas,Ivory Coast,28,30 May 1986,TRUE
?,GK,Sylvain Gbohouo,0,Ivory Coast S?w? Sport,Ivory Coast,25,29 October 1988,TRUE
?,DF,Didier Zokora,119,Turkey Trabzonspor,Ivory Coast,33,14 December 1980,FALSE
?,DF,Kolo Tour?,106,England Liverpool,Ivory Coast,33,19 March 1981,FALSE
?,DF,Arthur Boka,78,Germany VfB Stuttgart,Ivory Coast,31,2 April 1983,FALSE
?,DF,Sol Bamba,42,Turkey Trabzonspor,Ivory Coast,29,13 January 1985,FALSE
?,DF,Benjamin Angoua,18,France Valenciennes,Ivory Coast,27,28 November 1986,FALSE
?,DF,Serge Aurier,8,France Toulouse,Ivory Coast,21,24 December 1992,FALSE
?,DF,Ousmane Viera,3,Turkey ?aykur Rizespor,Ivory Coast,27,21 December 1986,FALSE
?,DF,Constant Djakpa,3,Germany Eintracht Frankfurt,Ivory Coast,27,17 October 1986,FALSE
?,DF,Jean-Daniel Akpa-Akpro,0,France Toulouse,Ivory Coast,21,11 October 1992,FALSE
?,DF,Brice Dja Dj?dj?,0,France Marseille,Ivory Coast,23,23 December 1990,FALSE
?,MF,Yaya Tour?,83,England Manchester City,Ivory Coast,31,13 May 1983,FALSE
?,MF,Cheick Tiot?,43,England Newcastle United,Ivory Coast,27,21 June 1986,FALSE
?,MF,Didier Ya Konan,25,Germany Hannover 96,Ivory Coast,30,25 February 1984,FALSE
?,MF,Max Gradel,24,France Saint-?tienne,Ivory Coast,26,30 November 1987,FALSE
?,MF,Serey Die,5,Switzerland Basel,Ivory Coast,29,7 November 1984,FALSE
?,MF,Mathis Bolly,2,Germany Fortuna D?sseldorf,Ivory Coast,23,14 November 1990,FALSE
?,MF,Isma?l Diomande,0,France Saint-?tienne,Ivory Coast,21,28 August 1992,FALSE
?,FW,Didier Drogba,99,Turkey Galatasaray,Ivory Coast,36,11 March 1978,FALSE
?,FW,Salomon Kalou,64,France Lille,Ivory Coast,28,5 August 1985,FALSE
?,GK,Orestis Karnezis,17,Spain Granada,Greece,28, 11 July 1985,FALSE
?,GK,Stefanos Kapino,1,Greece Panathinaikos,Greece,20,18 March 1994,TRUE
?,GK,Panagiotis Glykos,1,Greece PAOK,Greece,28,3 June 1986,TRUE
?,DF,Vasilis Torosidis,64,Italy Roma,Greece,29,10 June 1985,FALSE
?,DF,Loukas Vyntra,47,Spain Levante,Greece,33,5 February 1981,FALSE
?,DF,Sokratis Papastathopoulos,46,Germany Borussia Dortmund,Greece,26,9 June 1988,FALSE
?,DF,Giannis Maniatis,28,Greece Olympiacos,Greece,27,12 October 1986,TRUE
?,DF,Jos? Holebas,20,Greece Olympiacos,Greece,29,27 June 1984,TRUE
?,DF,Vangelis Moras,16,Italy Hellas Verona,Greece,32,26 August 1981,FALSE
?,DF,Giorgos Tzavellas,12,Greece PAOK,Greece,26,26 November 1987,TRUE
?,DF,Kostas Manolas,6,Greece Olympiacos,Greece,22,14 June 1991,TRUE
?,MF,Giorgos Karagounis (captain),132,England Fulham,Greece,37,6 March 1977,FALSE
?,MF,Kostas Katsouranis,109,Greece PAOK,Greece,34,21 June 1979,TRUE
?,MF,Alexandros Tziolis,47,Turkey Kayserispor,Greece,29,13 February 1985,FALSE
?,MF,Giannis Fetfatzidis,16,Italy Genoa,Greece,23,21 December 1990,FALSE
?,MF,Lazaros Christodoulopoulos,16,Italy Bologna,Greece,27,19 December 1986,FALSE
?,MF,Panagiotis Kone,14,Italy Bologna,Greece,26,26 July 1987,FALSE
?,MF,Panagiotis Tachtsidis,4,Italy Torino,Greece,23,15 February 1991,FALSE
?,MF,Andreas Samaris,3,Greece Olympiacos,Greece,24,13 June 1989,TRUE
?,FW,Dimitris Salpingidis,73,Greece PAOK,Greece,32,18 August 1981,TRUE
?,FW,Giorgos Samaras,71,Scotland Celtic,Greece,29,21 February 1985,FALSE
?,FW,Theofanis Gekas,69,Turkey Konyaspor,Greece,34,23 May 1980,FALSE
?,FW,Kostas Mitroglou,29,England Fulham,Greece,26,12 March 1988,FALSE
1,GK,Eiji Kawashima,55,Belgium Standard Li?ge,Japan,31,20 March 1983,FALSE
2,DF,Atsuto Uchida,66,Germany Schalke 04,Japan,26,27 March 1988,FALSE
3,DF,Gotoku Sakai,12,Germany VfB Stuttgart,Japan,23,14 February 1991,FALSE
4,MF,Keisuke Honda,54,Italy Milan,Japan,27,13 June 1986,FALSE
5,DF,Yuto Nagatomo,68,Italy Internazionale,Japan,27,12 September 1986,FALSE
6,DF,Masato Morishige,8,Japan F.C. Tokyo,Japan,27,21 May 1987,TRUE
7,MF,Yasuhito Endo,142,Japan Gamba Osaka,Japan,34,28 January 1980,TRUE
8,MF,Hiroshi Kiyotake,25,Germany 1. FC N?rnberg,Japan,24,12 November 1989,FALSE
9,FW,Shinji Okazaki,74,Germany Mainz 05,Japan,28,16 April 1986,FALSE
10,MF,Shinji Kagawa,55,England Manchester United,Japan,25,17 March 1989,FALSE
11,FW,Yoichiro Kakitani,10,Japan Cerezo Osaka,Japan,24,3 January 1990,TRUE
12,GK,Shusaku Nishikawa,12,Japan Urawa Red Diamonds,Japan,27,18 June 1986,TRUE
13,FW,Yoshito Okubo,55,Japan Kawasaki Frontale,Japan,32,9 June 1982,TRUE
14,MF,Toshihiro Aoyama,4,Japan Sanfrecce Hiroshima,Japan,28,22 February 1986,TRUE
15,DF,Yasuyuki Konno,79,Japan Gamba Osaka,Japan,31,25 January 1983,TRUE
16,MF,Hotaru Yamaguchi,10,Japan Cerezo Osaka,Japan,23,6 October 1990,TRUE
17,MF,Makoto Hasebe (captain),78,Germany 1. FC N?rnberg,Japan,30,18 January 1984,FALSE
18,FW,Yuya Osako,7,Germany 1860 M?nchen,Japan,24,18 May 1990,FALSE
19,DF,Masahiko Inoha,20,Japan Jubilo Iwata,Japan,30,28 August 1983,TRUE
20,FW,Manabu Saito,4,Japan Yokohama F. Marinos,Japan,24,4 April 1990,TRUE
21,DF,Hiroki Sakai,16,Germany Hannover 96,Japan,24,12 April 1990,FALSE
22,DF,Maya Yoshida,39,England Southampton,Japan,25,24 August 1988,FALSE
23,GK,Shuichi Gonda,2,Japan F.C. Tokyo,Japan,25,3 March 1989,TRUE
?,GK,Keylor Navas,51,Spain Levante,Costa Rica,27,15 December 1986,FALSE
?,GK,Patrick Pemberton,20,Costa Rica Alajuelense,Costa Rica,32,24 April 1982,FALSE
?,GK,Daniel Cambronero,4,Costa Rica Herediano,Costa Rica,28,8 January 1986,FALSE
?,GK,Esteban Alvarado,2,Netherlands AZ,Costa Rica,25,28 April 1989,FALSE
?,DF,Michael Uma?a,81,Costa Rica Saprissa,Costa Rica,31,16 July 1982,FALSE
?,DF,J?nior D?az,60,Germany Mainz 05,Costa Rica,30,12 September 1983,FALSE
?,DF,Roy Miller,47,United States New York Red Bulls,Costa Rica,29,24 November 1984,FALSE
?,DF,Giancarlo Gonz?lez,33,United States Columbus Crew,Costa Rica,26,8 February 1988,FALSE
?,DF,Johnny Acosta,25,Costa Rica Alajuelense,Costa Rica,30,21 July 1983,FALSE
?,DF,Cristian Gamboa,24,Norway Rosenborg,Costa Rica,24,24 October 1989,FALSE
?,DF,?scar Duarte,10,Belgium Club Brugge,Costa Rica,25,3 June 1989,FALSE
?,DF,Heiner Mora,2,Costa Rica Saprissa,Costa Rica,29,20 June 1984,FALSE
?,DF,Kendall Waston,2,Costa Rica Saprissa,Costa Rica,26,1 January 1988,FALSE
?,DF,Waylon Francis,1,United States Columbus Crew,Costa Rica,23,20 September 1990,FALSE
?,MF,Celso Borges,61,Sweden AIK,Costa Rica,26,27 May 1988,FALSE
?,MF,Christian Bola?os,53,Denmark Copenhagen,Costa Rica,30,17 May 1984,FALSE
?,MF,Michael Barrantes,42,Norway Aalesund,Costa Rica,30,4 October 1983,FALSE
?,MF,Carlos Hern?ndez,39,New Zealand Wellington Phoenix,Costa Rica,32,9 April 1982,FALSE
?,MF,Jos? Miguel Cubero,33,Costa Rica Herediano,Costa Rica,27,14 February 1987,FALSE
?,MF,Yeltsin Tejeda,21,Costa Rica Saprissa,Costa Rica,22,17 March 1992,FALSE
?,MF,Ariel Rodr?guez,16,Costa Rica Alajuelense,Costa Rica,28,22 April 1986,FALSE
?,MF,Esteban Granados,11,Costa Rica Herediano,Costa Rica,28,25 October 1985,FALSE
?,MF,Diego Calvo,9,Norway V?lerenga,Costa Rica,23,25 March 1991,FALSE
1,GK,Joe Hart,39,England Manchester City,England,27,19 May 1987,TRUE
2,DF,Glen Johnson,50,England Liverpool,England,29,23 August 1984,TRUE
3,DF,Leighton Baines,22,England Everton,England,29,11 December 1984,TRUE
4,MF,Steven Gerrard (captain),109,England Liverpool,England,34,30 May 1980,TRUE
