diet,genotype,Pupation_Rate
5y5s + Acetic Acid. pH 4.3,daw1/11,68
5y5s + HCl pH 4.3,daw1/11,63
5y5s,daw1/11,87
5y5s + Prop. Acid. pH 4.3,daw1/11,18
5y5s + Acetic Acid. pH 4.3,daw1/11,62
5y5s + HCl pH 4.3,daw1/11,58
5y5s,daw1/11,98
5y5s + Prop. Acid. pH 4.3,daw1/11,17
5y5s + Acetic Acid. pH 4.3,daw1/11,50
5y5s + HCl pH 4.3,daw1/11,75
5y5s,daw1/11,87
5y5s + Prop. Acid. pH 4.3,daw1/11,25
5y5s + Acetic Acid. pH 4.3,daw1/11,63
5y5s + HCl pH 4.3,daw1/11,70
5y5s + Prop. Acid. pH 4.3,daw1/11,32
5y5s + Acetic Acid. pH 4.3,daw1/11,62
5y5s + HCl pH 4.3,daw1/11,58
5y5s + Prop. Acid. pH 4.3,daw1/11,43
5y5s + Prop. Acid. pH 4.3,daw1/11,28
5y5s,daw11/+,92
5y5s + Prop. Acid. pH 4.3,daw11/+,97
5y5s + Acetic Acid. pH 4.3,daw11/+,88
5y5s + HCl pH 4.3,daw11/+,100
5y5s,daw11/+,96
5y5s + Prop. Acid. pH 4.3,daw11/+,95
5y5s + Acetic Acid. pH 4.3,daw11/+,93
5y5s + HCl pH 4.3,daw11/+,95
5y5s,daw11/+,90
5y5s + Prop. Acid. pH 4.3,daw11/+,97
5y5s + Acetic Acid. pH 4.3,daw11/+,85
5y5s + HCl pH 4.3,daw11/+,93
5y5s,daw11/+,97
5y5s + Prop. Acid. pH 4.3,daw11/+,90
5y5s + Acetic Acid. pH 4.3,daw11/+,90
5y5s + HCl pH 4.3,daw11/+,85
5y5s,daw11/+,88
5y5s + Prop. Acid. pH 4.3,daw11/+,88
5y5s + Acetic Acid. pH 4.3,daw11/+,85
5y5s + HCl pH 4.3,daw11/+,90
5y5s + Prop. Acid. pH 4.3,daw11/+,85
5y5s + Acetic Acid. pH 4.3,daw11/+,87
5y5s + Prop. Acid. pH 4.3,daw11/+,88
5y5s + Acetic Acid. pH 4.3,daw11/+,85
5y5s,daw1/+,98
5y5s + Prop. Acid. pH 4.3,daw1/+,88
5y5s + Acetic Acid. pH 4.3,daw1/+,93
5y5s + HCl pH 4.3,daw1/+,90
5y5s,daw1/+,98
5y5s + Prop. Acid. pH 4.3,daw1/+,92
5y5s + Acetic Acid. pH 4.3,daw1/+,88
5y5s + HCl pH 4.3,daw1/+,93
5y5s,daw1/+,98
5y5s + Prop. Acid. pH 4.3,daw1/+,100
5y5s + Acetic Acid. pH 4.3,daw1/+,95
5y5s + HCl pH 4.3,daw1/+,93
5y5s,daw1/+,92
5y5s + Prop. Acid. pH 4.3,daw1/+,93
5y5s + Acetic Acid. pH 4.3,daw1/+,83
5y5s + HCl pH 4.3,daw1/+,95
5y5s,daw1/+,95
5y5s + Prop. Acid. pH 4.3,daw1/+,93
5y5s + Acetic Acid. pH 4.3,daw1/+,93
5y5s + HCl pH 4.3,daw1/+,97
5y5s,daw1/+,98
5y5s + Prop. Acid. pH 4.3,daw1/+,95
5y5s + Acetic Acid. pH 4.3,daw1/+,93
5y5s + HCl pH 4.3,daw1/+,98
5y5s,daw1/+,97
5y5s + Prop. Acid. pH 4.3,daw1/+,90
5y5s + Acetic Acid. pH 4.3,daw1/+,90
5y5s + HCl pH 4.3,daw1/+,95
5y5s,daw1/+,95
5y5s + Prop. Acid. pH 4.3,daw1/+,95
5y5s + Acetic Acid. pH 4.3,daw1/+,93
5y5s + HCl pH 4.3,daw1/+,93
5y5s,daw1/+,92
5y5s + Acetic Acid. pH 4.3,daw1/+,90
5y5s + HCl pH 4.3,daw1/+,98
